No,ID,Click,"Total Order","Total Commission","Sale Amount",Detail
376,rosheyrose,11,6,"263.98 PHP","3,958.53 PHP",Conversion
377,mariyakatt,16,8,"263.87 PHP","12,456.00 PHP",Conversion
378,kayealejandria,4,2,"263.52 PHP","4,837.00 PHP",Conversion
379,charleen0216,12,5,"262.48 PHP","5,488.00 PHP",Conversion
380,darichbudolreco,21,10,"262.32 PHP","7,783.00 PHP",Conversion
381,jzavale,1,1,"262.30 PHP","4,798.00 PHP",Conversion
382,marjyuzon,28,14,"262.14 PHP","6,025.00 PHP",Conversion
383,clairejanemesias26,329,47,"261.31 PHP","13,352.00 PHP",Conversion
384,ricky007,35,9,"260.85 PHP","7,292.00 PHP",Conversion
385,lucky42,20,8,"260.59 PHP","8,158.00 PHP",Conversion
386,nyssadenice,17,10,"260.50 PHP","4,912.00 PHP",Conversion
387,tipidmamshie,80,12,"260.28 PHP","10,883.00 PHP",Conversion
388,caleb1528,86,11,"259.96 PHP","2,623.75 PHP",Conversion
389,missyanna,157,10,"259.81 PHP","2,959.69 PHP",Conversion
390,mjcabalteja,15,7,"257.94 PHP","3,027.46 PHP",Conversion
391,opzkelly,60,5,"257.82 PHP","2,091.21 PHP",Conversion
392,arlenesguisadio,14,6,"257.75 PHP","2,223.11 PHP",Conversion
393,divisoriafinds,35,6,"257.30 PHP","3,894.00 PHP",Conversion
394,novzlover28,29,5,"256.88 PHP","84,492.48 PHP",Conversion
395,rizgarcia,3,2,"256.70 PHP","3,000.00 PHP",Conversion
396,kmk87blessed,42,15,"256.67 PHP","3,975.40 PHP",Conversion
397,ecofreyr0526,7,1,"256.62 PHP","9,359.00 PHP",Conversion
398,meelaigarutai,31,14,"256.31 PHP","13,960.00 PHP",Conversion
399,mikeelegaspi,15,12,"255.40 PHP","4,998.09 PHP",Conversion
400,kimcha19,16,11,"255.28 PHP","13,663.88 PHP",Conversion
401,marilynd,32,15,"254.97 PHP","5,248.35 PHP",Conversion
402,jessica081119,8,5,"254.91 PHP","4,309.00 PHP",Conversion
403,kimpatchi014,20,6,"254.40 PHP","4,270.00 PHP",Conversion
404,ispalma,5,4,"253.68 PHP","7,800.00 PHP",Conversion
405,jurakyat,43,8,"253.48 PHP","10,574.00 PHP",Conversion
406,moonchild777,44,7,"253.25 PHP","3,582.00 PHP",Conversion
407,danielcatapang,35,1,"252.84 PHP","7,477.06 PHP",Conversion
408,ronaldlyn,45,23,"252.11 PHP","7,246.00 PHP",Conversion
409,rlyn4673,44,7,"251.66 PHP","4,085.57 PHP",Conversion
410,marianne08,15,10,"251.38 PHP","6,103.00 PHP",Conversion
411,mimayel,875,78,"251.37 PHP","10,065.00 PHP",Conversion
412,edang09,31,17,"251.24 PHP","5,428.00 PHP",Conversion
413,joyceecrz,14,8,"251.01 PHP","5,389.58 PHP",Conversion
414,mits21,38,6,"250.96 PHP","2,577.05 PHP",Conversion
415,johnmargaballe,5,5,"250.77 PHP","6,089.99 PHP",Conversion
416,baisa18,17,5,"250.48 PHP","5,890.79 PHP",Conversion
417,dalusongsarah,47,32,"250.47 PHP","10,778.00 PHP",Conversion
418,miry424,16,4,"250.32 PHP","5,000.00 PHP",Conversion
419,joycieee,11,22,"250.10 PHP","8,448.26 PHP",Conversion
420,lorainneangela,24,21,"248.12 PHP","22,462.00 PHP",Conversion
421,lezea23,30,9,"247.93 PHP","13,988.31 PHP",Conversion
422,zeanpsalmyrrh08,22,6,"247.59 PHP","3,518.00 PHP",Conversion
423,zellybels,6,2,"247.58 PHP","4,680.00 PHP",Conversion
424,freekythingy,22,8,"247.53 PHP","31,767.00 PHP",Conversion
425,sharene25,22,10,"247.29 PHP","8,048.00 PHP",Conversion
426,jmcl28,17,19,"247.20 PHP","8,580.00 PHP",Conversion
427,lhai08guballa,8,2,"247.17 PHP","2,141.00 PHP",Conversion
428,jarace,33,9,"246.77 PHP","2,657.40 PHP",Conversion
429,previlla25,43,15,"246.58 PHP","4,912.00 PHP",Conversion
430,petals,29,9,"246.21 PHP","4,777.00 PHP",Conversion
431,jbelle17,12,5,"245.90 PHP","5,375.00 PHP",Conversion
432,criseldatanieca,33,10,"244.99 PHP","4,747.00 PHP",Conversion
433,jjj192023,32,9,"244.87 PHP","4,060.00 PHP",Conversion
434,cjgrajo5,129,26,"244.02 PHP","5,666.01 PHP",Conversion
435,reasison31,21,11,"243.58 PHP","3,527.80 PHP",Conversion
436,darksecret,42,13,"242.26 PHP","34,720.00 PHP",Conversion
437,joycee0307,7,3,"241.52 PHP","8,824.00 PHP",Conversion
438,lquilas,8,4,"241.43 PHP","5,112.00 PHP",Conversion
439,rowin11,9,3,"241.42 PHP","10,636.00 PHP",Conversion
440,drace07,64,23,"241.33 PHP","5,954.00 PHP",Conversion
441,k4shop,21,4,"241.15 PHP","2,900.00 PHP",Conversion
442,prettyjuly,13,7,"240.75 PHP","5,045.00 PHP",Conversion
443,joannamaelim,8,4,"240.58 PHP","8,541.00 PHP",Conversion
444,noela31,130,25,"240.24 PHP","4,017.93 PHP",Conversion
445,ethz1984,41,6,"240.10 PHP","2,233.98 PHP",Conversion
446,annjhel0331,42,21,"239.82 PHP","2,600.00 PHP",Conversion
447,angeline0324,129,12,"239.14 PHP","8,153.43 PHP",Conversion
448,klovella,4,2,"238.94 PHP","5,192.00 PHP",Conversion
449,mggerente,28,4,"238.93 PHP","3,280.00 PHP",Conversion
450,daryl1992,15,7,"238.61 PHP","3,629.59 PHP",Conversion
451,herveymae,14,3,"238.40 PHP","3,555.00 PHP",Conversion
452,jelay08,20,7,"237.16 PHP","2,573.50 PHP",Conversion
453,rensrei10,25,8,"236.82 PHP","8,266.00 PHP",Conversion
454,marie1212,15,7,"236.80 PHP","3,280.06 PHP",Conversion
455,moccamyenotoru,5,6,"236.35 PHP","3,510.78 PHP",Conversion
456,joycelachica,9,4,"235.98 PHP","2,424.00 PHP",Conversion
457,kzbalaca21,7,4,"235.92 PHP","6,066.75 PHP",Conversion
458,jeyrishg,11,11,"234.29 PHP","8,394.00 PHP",Conversion
459,isthmus,20,8,"233.98 PHP","9,893.00 PHP",Conversion
460,iamjaderodil,8,7,"233.87 PHP","4,779.83 PHP",Conversion
461,brenzie40,14,2,"233.35 PHP","2,501.00 PHP",Conversion
462,lysherp,30,8,"233.15 PHP","12,730.16 PHP",Conversion
463,viraltvshop,48,18,"233.12 PHP","6,510.79 PHP",Conversion
464,johnlouiecruz,22,9,"232.87 PHP","6,236.00 PHP",Conversion
465,sharcky,4,2,"231.57 PHP","3,227.00 PHP",Conversion
466,floral,239,7,"230.36 PHP","109,490.34 PHP",Conversion
467,mommyhaze09,14,11,"230.26 PHP","5,018.00 PHP",Conversion
468,rence1liam,9,3,"228.92 PHP","2,623.90 PHP",Conversion
469,louielouise,200,17,"228.65 PHP","2,028.48 PHP",Conversion
470,ronettamaquinta,32,13,"228.47 PHP","4,035.00 PHP",Conversion
471,annie0920,45,13,"228.37 PHP","3,868.00 PHP",Conversion
472,carolineg,36,5,"228.23 PHP","3,985.36 PHP",Conversion
473,ruuuna,20,4,"227.83 PHP","12,639.00 PHP",Conversion
474,lijah2020,190,40,"226.62 PHP","6,360.76 PHP",Conversion
475,meldz051393,28,8,"226.26 PHP","6,852.00 PHP",Conversion
476,arianalee092787,95,15,"225.86 PHP","7,814.00 PHP",Conversion
477,tierrarose,50,7,"225.84 PHP","7,926.53 PHP",Conversion
478,leaquidasol,11,8,"225.76 PHP","5,555.00 PHP",Conversion
479,themaligayangmillennial,10,6,"225.71 PHP","3,709.17 PHP",Conversion
480,azzir1228,13,4,"225.59 PHP","4,699.61 PHP",Conversion
481,charlesg24,137,12,"225.53 PHP","3,093.38 PHP",Conversion
482,yumiii,48,11,"225.38 PHP","5,659.00 PHP",Conversion
483,tuteejendex,9,3,"225.30 PHP","10,102.00 PHP",Conversion
484,labeaute18,207,12,"224.69 PHP","4,535.04 PHP",Conversion
485,shiela2828,48,16,"224.04 PHP","2,222.72 PHP",Conversion
486,kuyamaher,61,9,"223.93 PHP","8,422.00 PHP",Conversion
487,arazain,15,6,"223.60 PHP","5,256.00 PHP",Conversion
488,pamelaffiliate593,29,7,"223.59 PHP","2,154.14 PHP",Conversion
489,piaregina,35,15,"222.99 PHP","4,544.29 PHP",Conversion
490,monica1201,23,6,"222.63 PHP","11,026.72 PHP",Conversion
491,coloredkart,34,12,"222.32 PHP","3,450.00 PHP",Conversion
492,raeamores,3,2,"221.49 PHP","1,092.00 PHP",Conversion
493,charisse080189,22,7,"220.62 PHP","1,740.61 PHP",Conversion
494,tbcruz13,9,3,"220.18 PHP","72,721.10 PHP",Conversion
495,ghenskiee,58,3,"220.18 PHP","10,763.55 PHP",Conversion
496,cristygt0714,20,8,"219.80 PHP","1,531.73 PHP",Conversion
497,maiserafico,150,8,"219.34 PHP","5,805.00 PHP",Conversion
498,lara05,3,2,"218.26 PHP","3,176.88 PHP",Conversion
499,adamyv0714,3,3,"218.01 PHP","3,647.77 PHP",Conversion
